tiempo;cpu;fallastotal
0.016230882;13.4;0.0
0.001798582;13.4;0.0
0.002270597;13.4;0.0
0.001588907;13.4;0.0
0.001805897;13.4;0.0
0.001380936;13.4;0.0
0.001838811;13.4;0.0
0.002004358;13.4;0.0
0.001455298;13.4;0.0
0.001513813;35.5;0.0
0.001697157;35.5;0.0
0.001587444;35.5;0.0
0.001685455;35.5;0.0
0.001597927;35.5;0.0
0.001577447;15.0;0.0
0.00166912;15.0;0.0
0.001662049;15.0;0.0
0.00144384;15.0;0.0
0.001451397;15.0;0.0
0.00120003;9.6;0.0
0.001667412;9.6;0.0
0.001519908;9.6;0.0
0.001325104;9.6;0.0
0.001604997;9.6;0.0
0.005244097;2.7;0.0
0.001476266;2.7;0.0
0.001345828;2.7;0.0
0.001303893;2.7;0.0
0.001456274;2.7;0.0
0.001321203;3.7;0.0
0.001359238;3.7;0.0
0.001390689;3.7;0.0
0.001592319;3.7;0.0
0.001559649;3.7;0.0
0.001608167;12.8;0.0
0.001870506;12.8;0.0
0.001720807;12.8;0.0
0.001360945;12.8;0.0
0.001673995;12.8;0.0
0.001573546;14.6;0.0
0.00160329;14.6;0.0
0.001518689;14.6;0.0
0.0020775;14.6;0.0
0.001416045;14.6;0.0
0.001581836;16.0;0.0
0.001522346;16.0;0.0
0.001607192;16.0;0.0
0.001534293;16.0;0.0
0.001649127;16.0;0.0
0.001247573;14.3;0.0
0.001485287;14.3;0.0
0.001553554;14.3;0.0
0.001618895;14.3;0.0
0.001559162;14.3;0.0
0.001377035;15.6;0.0
0.001456274;15.6;0.0
0.001593051;15.6;0.0
0.001716418;15.6;0.0
0.00187075;15.6;0.0
0.001334369;10.7;0.0
0.001420434;10.7;0.0
0.001214902;10.7;0.0
0.001334856;10.7;0.0
0.001508449;10.7;0.0
0.001395322;3.5;0.0
0.001485774;3.5;0.0
0.001207588;3.5;0.0
0.001234894;3.5;0.0
0.001450422;3.5;0.0
0.001497234;8.2;0.0
0.001597195;8.2;0.0
0.001487726;8.2;0.0
0.001309256;8.2;0.0
0.00146505;8.2;0.0
0.001530636;14.6;0.0
0.001537218;14.6;0.0
0.001572815;14.6;0.0
0.001384838;14.6;0.0
0.001246841;14.6;0.0
0.001429455;19.9;0.0
