tiempo;cpu
0.6810644;0.0;fallas1;46
0.0068332;0.0;fallas2;37
0.0045333;0.0;fallas3;34
0.0036021;0.0;fallas4;31
0.0033462;0.0;fallas5;38
0.004385;0.0;fallas6;36
0.0040864;0.0;fallas7;27
0.0037659;0.0;fallas8;28
0.003805;64.9;fallas9;30
0.0052979;64.9;fallas10;30
0.0051658;64.9
0.0033873;64.9
0.0030257;64.9
0.0034457;64.9
0.0063354;64.9
0.0059288;64.9
0.004075;64.9
0.0031137;42.2
0.0029308;42.2
0.0028755;42.2
0.0031453;42.2
0.0031366;42.2
0.0029667;42.2
0.0034871;42.2
0.0028178;42.2
0.0035794;43.8
0.004171;43.8
0.0024893;43.8
0.0029767;43.8
0.0026963;43.8
0.0032043;43.8
0.0034687;43.8
0.0038261;43.8
0.0039806;43.8
0.0043236;42.1
0.0027052;42.1
0.003095;42.1
0.002789;42.1
0.0027732;42.1
0.0025914;42.1
0.0028115;42.1
0.0026452;42.1
0.0039474;42.1
0.003282;43.8
0.0048312;43.8
0.0026357;43.8
0.0026511;43.8
0.0033876;43.8
0.0024307;43.8
0.0028267;43.8
0.0028765;43.8
0.0040883;43.8
0.0027126;46.0
0.0034287;46.0
0.0030861;46.0
0.0034938;46.0
0.0027587;46.0
0.0055389;46.0
0.0033447;46.0
0.003022;46.0
0.0025882;50.5
0.0025648;50.5
0.0025095;50.5
0.0034447;50.5
0.0045652;50.5
0.0023677;50.5
0.0034958;50.5
0.0024532;50.5
0.0028721;50.5
0.0025325;42.7
0.0028807;42.7
0.0022753;42.7
0.0035541;42.7
0.0039698;42.7
0.0023151;42.7
0.0032903;42.7
0.0035306;42.7
0.003355;42.7
0.0024262;45.7
0.0030137;45.7
0.0024409;45.7
0.0024501;45.7
0.0025474;45.7
0.0037352;45.7
0.0025101;45.7
0.003539;45.7
0.0024261;53.5
0.0040852;53.5
0.0039528;53.5
0.002215;53.5
0.0031284;53.5
0.0031946;53.5
0.0023963;53.5
0.0025791;53.5
0.0040875;46.3
0.0031078;46.3
0.0027163;46.3
0.002685;46.3
0.0027199;46.3
0.0029938;46.3
0.0031353;46.3
0.0023892;46.3
0.0026192;46.3
0.0028187;46.3
0.0029429;36.4
0.0029884;36.4
0.0054169;36.4
0.0023775;36.4
0.0024554;36.4
0.0023354;36.4
0.0023965;36.4
0.0030141;36.4
0.0036126;38.7
0.0039186;38.7
0.002209;38.7
0.0025094;38.7
0.0023738;38.7
0.0034497;38.7
0.0023014;38.7
0.0022066;38.7
0.0025014;38.7
0.0023276;38.7
0.0028958;34.3
0.0024169;34.3
0.0025079;34.3
0.0034248;34.3
0.0023119;34.3
0.003699;34.3
0.0026275;34.3
0.0027002;34.3
0.0022459;34.3
0.0025655;34.3
0.0021539;33.3
0.0023424;33.3
0.0023287;33.3
0.0021525;33.3
0.0022894;33.3
0.002793;33.3
0.0033813;33.3
0.0022075;33.3
0.0021682;33.3
0.0022451;33.3
0.0029781;30.0
0.0021822;30.0
0.0033518;30.0
0.0028796;30.0
0.0021907;30.0
0.0022325;30.0
0.0021795;30.0
0.0027501;30.0
0.0026703;30.0
0.0022813;31.6
0.002225;31.6
0.0022287;31.6
0.0294725;22.2
0.0034592;22.2
0.0040477;22.2
0.0029573;22.2
0.0026282;22.2
0.0034214;22.2
0.0039928;83.3
0.0038863;83.3
0.0034574;83.3
0.003896;83.3
0.003788;83.3
0.0039718;85.5
0.0031121;85.5
0.0035102;85.5
0.005268;85.5
0.0035969;85.5
0.0035029;85.5
0.0032744;85.5
0.0027943;85.5
0.0024542;56.0
0.0023083;56.0
0.0028088;56.0
0.0024917;56.0
0.0025835;56.0
0.0023616;56.0
0.0029689;56.0
0.0035712;56.0
0.0024558;56.0
0.0023953;49.1
0.0028123;49.1
0.0026416;49.1
0.0029926;49.1
0.0022846;49.1
0.0045048;49.1
0.0029696;49.1
0.0040365;52.7
0.0057708;52.7
0.004669;52.7
0.0049857;52.7
0.0048799;52.7
0.0057957;52.7
0.0042047;81.6
0.0044184;81.6
0.0022681;81.6
0.0022072;81.6
0.0022507;81.6
0.0024354;81.6
0.0021543;81.6
0.0021724;81.6
0.0024231;81.6
0.003187;39.9
0.004632;39.9
0.0024519;39.9
0.0028167;39.9
0.0023336;39.9
0.0021585;39.9
0.0024204;39.9
0.0029037;39.9
0.0024015;37.6
0.0030683;37.6
0.0026457;37.6
0.0036392;37.6
0.0025612;37.6
0.0026969;37.6
0.0022433;37.6
0.0025742;37.6
0.0022974;44.6
0.0038284;44.6
0.0027533;44.6
0.002256;44.6
0.0028023;44.6
0.0033719;44.6
0.0023754;44.6
0.0025673;44.6
0.0022878;37.4
0.0030306;37.4
0.0029147;37.4
0.0032048;37.4
0.0022924;37.4
0.0023676;37.4
0.0025741;37.4
0.0025075;37.4
0.0022211;39.9
0.0024519;39.9
0.0028885;39.9
0.0030855;39.9
0.0022517;39.9
0.0024638;39.9
0.0022371;39.9
0.0021319;43.7
0.0032042;43.7
0.0025653;43.7
0.0021392;43.7
0.0022085;43.7
0.0027241;43.7
0.002565;43.7
0.0026008;43.7
0.003187;45.5
0.0034821;45.5
0.0023155;45.5
0.0021703;45.5
0.0056946;45.5
0.0028731;45.5
0.0023496;45.5
0.0021891;45.5
0.0021755;36.0
0.0023015;36.0
0.0021851;36.0
0.0022206;36.0
0.0021944;36.0
0.0022551;36.0
0.0020571;36.0
0.0031141;36.0
0.0028595;38.1
0.0021312;38.1
0.0033156;38.1
0.0022025;38.1
0.0022748;38.1
0.0022932;38.1
0.0022105;38.1
0.0022295;38.1
0.0022989;38.1
0.0028944;35.7
0.002229;35.7
0.0021956;35.7
0.0021881;35.7
0.0023069;35.7
0.0031769;35.7
0.0027743;35.7
0.0024334;35.7
0.0021935;35.7
0.0020292;32.3
0.0025792;32.3
0.001989;32.3
0.0020656;32.3
0.0020907;32.3
0.0021899;32.3
0.0022527;32.3
0.0022282;32.3
0.0021624;32.3
0.0020502;35.5
0.0021908;35.5
0.002172;35.5
0.0023489;35.5
0.0029332;35.5
0.002174;35.5
0.0021542;35.5
0.0022938;35.5
0.0023768;35.5
0.0021775;34.3
0.0022059;34.3
0.0025647;34.3
0.0022448;34.3
0.0021545;34.3
0.0026216;34.3
0.0022025;34.3
0.0022395;34.3
0.0022002;39.3
0.0022236;39.3
0.0024113;39.3
0.0024121;39.3
0.0020309;39.3
0.0020379;39.3
0.0293435;23.7
0.0034306;23.7
0.0033007;23.7
0.0045747;23.7
0.0035729;23.7
0.0029201;82.1
0.0027075;82.1
0.0051437;82.1
0.0034709;82.1
0.0025614;82.1
0.0026756;82.1
0.0046113;77.4
0.0023082;77.4
0.0025178;77.4
0.0024891;77.4
0.0041378;77.4
0.0027633;77.4
0.0029029;77.4
0.00378;77.4
0.0021727;37.7
0.0022141;37.7
0.0023215;37.7
0.0021764;37.7
0.0028006;37.7
0.0027466;37.7
0.0027704;37.7
0.0022248;37.7
0.0026641;43.8
0.0029165;43.8
0.0022813;43.8
0.0021789;43.8
0.0022575;43.8
0.0021165;43.8
0.0023051;43.8
0.0022371;43.8
0.0025056;43.8
0.0023033;38.6
0.0023825;38.6
0.0032388;38.6
0.0022077;38.6
0.0022339;38.6
0.0107733;38.6
0.0025141;38.6
0.002541;38.6
0.0021492;32.2
0.0021515;32.2
0.0025705;32.2
0.003185;32.2
0.0024894;32.2
0.0030307;32.2
0.0025806;32.2
0.0028852;32.2
0.0021529;35.6
0.0021665;35.6
0.0023788;35.6
0.002251;35.6
0.0022775;35.6
0.0021524;35.6
0.0022215;35.6
0.0033988;35.6
0.0032673;47.0
0.0034399;47.0
0.0029034;47.0
0.0034739;47.0
0.0024684;47.0
0.0033296;47.0
0.0034247;78.9
0.0034208;78.9
0.0022461;78.9
0.0023792;78.9
0.0023517;78.9
0.0026486;78.9
0.002176;78.9
0.0029174;63.9
0.0027354;63.9
0.0023203;63.9
0.0042827;63.9
0.0029499;63.9
0.0021177;63.9
0.0022724;63.9
0.0027551;67.7
0.0024109;67.7
0.0022851;67.7
0.0022069;67.7
0.0022407;67.7
0.0036275;67.7
0.002197;67.7
0.0023766;59.9
0.0022549;59.9
0.0033584;59.9
0.0024239;59.9
0.0032693;59.9
0.002277;59.9
0.0026825;59.9
0.0025034;68.7
0.003092;68.7
0.0025613;68.7
0.0022679;68.7
0.0033212;68.7
0.0034235;68.7
0.0027512;68.7
0.0026537;62.9
0.0025854;62.9
0.0028314;62.9
0.0026866;62.9
0.0028458;62.9
0.0022523;62.9
0.0026857;62.9
0.0033979;72.7
0.0034391;72.7
0.002417;72.7
0.0027481;72.7
0.0027443;72.7
0.0035852;72.7
0.0029505;72.7
0.0027305;65.5
0.0031272;65.5
0.0021411;65.5
0.0024471;65.5
0.0031513;65.5
0.002459;65.5
0.0032211;65.5
0.0022584;65.5
0.0024257;63.2
0.0030956;63.2
0.0027021;63.2
0.0028697;63.2
0.0026466;63.2
0.0032928;63.2
0.0032974;63.2
0.0029983;63.2
0.0021191;60.6
0.0024218;60.6
0.0021674;60.6
0.0025493;60.6
0.0027314;60.6
0.0031788;60.6
0.0021586;60.6
0.0026097;60.6
0.0021679;57.1
0.0026201;57.1
0.002945;57.1
0.0025916;57.1
0.0031773;57.1
0.002266;57.1
0.0021971;57.1
0.0022503;57.1
0.0022078;59.8
0.0021636;59.8
0.003284;59.8
0.0035939;59.8
0.0028207;59.8
0.0031976;59.8
0.0031265;80.4
0.0026231;80.4
0.0043738;80.4
0.0029832;80.4
0.0022789;80.4
0.0021843;80.4
0.0024709;80.4
0.0028881;70.1
0.0027815;70.1
0.0022226;70.1
0.0020765;70.1
0.002278;70.1
0.0032128;70.1
0.0296992;27.5
0.0034077;27.5
0.0039644;27.5
0.0034537;27.5
0.0035254;27.5
0.0030046;87.3
0.0027412;87.3
0.0072415;87.3
0.0095419;87.3
0.0028744;87.3
0.0047422;79.0
0.0028994;79.0
0.0021979;79.0
0.0023668;79.0
0.0038659;79.0
0.0028487;79.0
0.002305;79.0
0.0027178;79.0
0.0022822;35.7
0.0024738;35.7
0.0033066;35.7
0.0023493;35.7
0.0021294;35.7
0.0030668;35.7
0.0022568;35.7
0.002302;35.7
0.0026341;35.7
0.0022018;33.6
0.0028519;33.6
0.0022174;33.6
0.0022649;33.6
0.0026775;33.6
0.003167;33.6
0.0021256;33.6
0.0022346;33.6
0.0024348;46.4
0.0023118;46.4
0.0021447;46.4
0.0021884;46.4
0.0021089;46.4
0.0023215;46.4
0.0024596;46.4
0.0024656;46.4
0.0021173;46.4
0.0023703;34.2
0.0020505;34.2
0.0022012;34.2
0.002193;34.2
0.0023241;34.2
0.0021128;34.2
0.0020579;34.2
0.0022585;34.2
0.0029272;34.2
0.0021677;34.9
0.0021325;34.9
0.0022889;34.9
0.0022863;34.9
0.0034066;34.9
0.0027675;34.9
0.0046534;34.9
0.002817;34.9
0.0032648;40.7
0.001938;40.7
0.0024355;40.7
0.002344;40.7
0.0024044;40.7
0.0021235;40.7
0.0036639;40.7
0.0031448;40.7
0.002566;35.5
0.0021363;35.5
0.0021016;35.5
0.0021967;35.5
0.0024191;35.5
0.0052858;35.5
0.0021841;35.5
