tiempo;cpu
0.0015032;0.0;fallas1;203
0.0025249;0.0;fallas2;193
0.0011624;0.0;fallas3;182
6.172E-4;0.0;fallas4;192
4.803E-4;0.0;fallas5;188
5.242E-4;0.0;fallas6;192
8.124E-4;83.6;fallas6;206
0.001231;83.6;fallas7;193
3.917E-4;83.6;fallas9;191
4.149E-4;83.6;fallas10;202
5.461E-4;83.6
4.441E-4;83.6
4.332E-4;83.6
3.961E-4;83.6
5.057E-4;83.6
3.815E-4;45.8
3.916E-4;45.8
3.39E-4;45.8
4.86E-4;45.8
6.864E-4;45.8
5.458E-4;45.8
3.344E-4;45.8
3.709E-4;45.8
4.729E-4;45.8
4.95E-4;45.8
6.84E-4;35.8
4.585E-4;35.8
4.103E-4;35.8
3.841E-4;35.8
4.334E-4;35.8
4.194E-4;35.8
4.192E-4;35.8
3.142E-4;35.8
3.456E-4;35.8
0.0011322;45.2
4.215E-4;45.2
4.375E-4;45.2
3.348E-4;45.2
3.651E-4;45.2
4.227E-4;45.2
3.518E-4;45.2
3.39E-4;45.2
4.435E-4;40.0
3.503E-4;40.0
3.769E-4;40.0
3.276E-4;40.0
3.402E-4;40.0
3.085E-4;40.0
3.646E-4;40.0
3.572E-4;40.0
2.913E-4;40.0
3.923E-4;43.8
3.366E-4;43.8
2.902E-4;43.8
3.518E-4;43.8
3.521E-4;43.8
4.22E-4;43.8
2.758E-4;43.8
3.534E-4;43.8
2.756E-4;43.8
2.977E-4;45.3
3.624E-4;45.3
2.891E-4;45.3
3.84E-4;45.3
3.624E-4;45.3
3.365E-4;45.3
3.053E-4;45.3
3.403E-4;45.3
7.066E-4;45.3
3.232E-4;45.3
3.018E-4;45.3
3.771E-4;45.3
2.864E-4;45.3
2.895E-4;45.3
2.715E-4;45.3
2.538E-4;45.3
0.002254;45.3
2.855E-4;45.3
2.776E-4;48.3
2.721E-4;48.3
2.752E-4;48.3
3.932E-4;48.3
2.853E-4;48.3
3.432E-4;48.3
2.943E-4;48.3
2.793E-4;48.3
3.069E-4;48.3
3.565E-4;54.7
2.967E-4;54.7
2.658E-4;54.7
2.39E-4;54.7
2.41E-4;54.7
2.508E-4;54.7
2.942E-4;54.7
3.136E-4;54.7
3.29E-4;54.7
3.163E-4;40.1
3.356E-4;40.1
5.373E-4;40.1
2.547E-4;40.1
2.394E-4;40.1
3.539E-4;40.1
2.808E-4;40.1
3.737E-4;40.1
2.787E-4;40.1
3.803E-4;41.9
2.963E-4;41.9
2.993E-4;41.9
3.004E-4;41.9
2.76E-4;41.9
2.229E-4;41.9
2.806E-4;41.9
3.037E-4;41.9
2.704E-4;41.9
3.115E-4;47.8
5.779E-4;47.8
2.342E-4;47.8
2.297E-4;47.8
3.202E-4;47.8
2.626E-4;47.8
2.767E-4;47.8
2.17E-4;47.8
2.543E-4;47.8
6.036E-4;42.2
3.278E-4;42.2
3.166E-4;42.2
3.284E-4;42.2
3.239E-4;42.2
2.588E-4;42.2
2.855E-4;42.2
2.099E-4;42.2
3.342E-4;42.2
2.131E-4;44.1
2.82E-4;44.1
2.177E-4;44.1
2.71E-4;44.1
2.934E-4;44.1
3.103E-4;44.1
2.241E-4;44.1
5.797E-4;44.1
